综合评价,排名
0.792428295818685,229
0.12735795244108727,4499
0.4455129108802023,1876
0.6933796757235628,579
0.6299940508719979,825
0.4613473243294175,1766
0.7756706078555522,319
0.7160926053517042,490
0.21036057829141627,4088
0.2366603415853976,3899
0.6227079993141835,845
0.5778179084260869,1017
0.3471115804251251,2731
0.4402950128544669,1914
0.2729729184517063,3541
0.7508040168864492,388
0.8451014902504883,73
0.4693201469095977,1699
0.864783363795349,49
0.4357142179176693,1948
0.47228909089728977,1666
0.2732906585885239,3533
0.8142517538336025,152
0.2546775685059615,3738
0.09827926468224875,4559
0.462700119009169,1746
0.3932102522604083,2282
0.7133037312416028,498
0.553416178431838,1129
0.24006521505384876,3871
0.4317890394508582,1987
0.14283980606711794,4452
0.7455110597635097,415
0.1941144000288996,4192
0.3802298859537524,2385
0.6430267443860432,765
0.2543396921727926,3744
0.29217785415080794,3336
0.24888892859427497,3789
0.25874180848536305,3697
0.31984539610091756,3032
0.32933653547774017,2910
0.326154341010964,2939
0.1631810461229292,4373
0.35209373298782476,2680
0.24836862359591508,3796
0.2798222825002454,3482
0.21990640366322844,4022
0.47592808701347394,1631
0.2778197595427795,3499
0.6865578519157551,608
0.5751560189576707,1029
0.8316650582667218,97
0.40815971309152665,2172
0.48129310587724583,1594
0.4355649698539717,1951
0.1764784165941051,4280
0.19616029013896605,4184
0.10984848518017579,4538
0.3123366655414282,3116
0.2657819280290345,3627
0.1548985097495118,4413
0.26232536057804134,3665
0.49020043690675663,1526
0.24538899399068123,3821
0.26795619403414966,3604
0.3932102522604083,2283
0.2671288345165139,3616
0.43686787596400317,1938
0.31686576649568376,3071
0.2729729184517063,3544
0.31093806507140676,3130
0.4516841634748032,1836
0.3735158333768399,2463
0.24118944253965316,3863
0.15991523416706843,4391
0.4747060379420185,1643
0.7428491702950936,426
0.24843212694486694,3794
0.49286232637517285,1507
0.4372398030293759,1935
0.7156585661907432,492
0.5231917577936989,1320
0.4595120254244738,1783
0.6685010078835546,677
0.4580579809309465,1791
0.28119006115637374,3458
0.256481276642849,3718
0.28261115661034675,3452
0.4769660486618794,1628
0.40890346604572486,2165
0.17433683212404874,4286
0.4839549953456621,1570
0.4221285378702053,2047
0.7432832094560544,423
0.7076728977854945,517
0.4908043593942011,1517
0.31346089302723257,3110
0.377441011843651,2410
0.35816049592469223,2621
0.29657997046337836,3281
0.834326947735138,93
0.36054801240889145,2593
0.27309990309339144,3538
0.15627623805088428,4410
0.2644669450480977,3644
0.7419275076708314,429
0.2778197595427795,3500
0.46976626294146395,1691
0.345836214555825,2745
0.43798278702941085,1932
0.7795957863223633,305
0.324247512413488,2968
0.18446408499935382,4238
0.25404282420462393,3750
0.3871015134243039,2330
0.553416178431838,1126
0.5228207008590365,1322
0.18412620866618493,4241
0.39224522248354565,2290
0.6401092268763977,777
0.32250728556933383,2992
0.8110615220975987,159
0.39278427242489333,2287
0.1408252062387467,4458
0.5917746454082132,959
0.3622643530157304,2573
0.21397870223895152,4069
0.44499260588184236,1882
0.5974367691460167,939
0.14256543308290087,4454
0.6375122099540783,788
0.2446460099906463,3833
0.4698404519079576,1690
0.3185839668236885,3051
0.716921855189138,488
0.16529846592552785,4343
0.6116351975773012,878
0.6274157788926663,832
0.18040359506091616,4266
0.25341802954853054,3757
0.285273046078763,3421
0.18412620866618493,4240
0.22835693304333124,3974
0.28640935043547266,3403
0.4024158425114513,2216
0.23731970809634786,3893
0.43686787596400317,1940
0.3715969279084586,2483
0.32516917503775006,2951
0.5695144998840206,1046
0.6526448684045509,726
0.3715969279084586,2489
0.3145216171640851,3096
0.4241744279802718,2031
0.8147720588319622,146
0.2388573700789598,3883
0.30064046040181597,3234
0.1925767380462877,4203
0.46257527251879216,1747
0.3754781059978217,2434
