120	76	24
125	72	20
125	76	21
91	71	15
125	72	21
120	85	20
117	37	26
78	65	20
103	64	20
95	55	33
95	55	33
95	55	33
95	55	33
95	55	33
95	55	33
95	55	33
125	75	33
116	76	16
111	70	23
131	77	38
126	65	19
105	70	30
134	76	20
125	65	19
136	67	17
103	62	20
120	73	20
131	76	29
130	75	29
136	32	22
100	55	20
107	71	20
132	91	21
120	69	16
110	73	23
97	62	30
132	72	28
98	40	19
110	49	34
120	71	19
70	40	39
90	61	19
92	65	50
128	81	24
105	72	45
98	72	40
102	73	47
125	73	18
74	47	47
126	72	18
100	57	21
120	71	20
78	43	42
80	50	48
135	35	26
107	35	25
110	74	18
106	71	21
98	52	28
65	35	35
65	43	14
106	48	16
116	76	21
113	37	37
71	41	41
126	65	23
91	71	16
116	71	20
131	80	27
97	40	18
111	76	20
65	40	40
135	40	24
116	40	32
101	65	19
120	78	27
121	67	21
95	66	20
100	60	20
116	60	15
130	60	30
51	31	31
75	47	45
110	62	14
60	35	35
41	37	37
135	66	14
115	67	21
110	56	38
61	40	40
133	71	16
75	45	45
105	72	17
101	69	23
110	101	36
116	42	30
94	65	16
130	71	23
100	70	15
128	81	24
128	80	24
128	80	29
135	36	20
135	37	21
137	36	21
85	61	25
116	58	13
110	72	20
130	83	46
108	67	21
106	66	16
106	65	16
130	80	20
115	74	26
120	71	20
96	52	18
110	52	16
94	80	20
127	80	24
65	44	15
120	82	20
95	67	14
126	82	16
126	82	21
90	61	19
105	32	20
115	82	30
116	57	15
68	41	41
120	70	18
91	61	19
108	30	19
115	75	18
116	75	26
115	75	20
115	75	20
137	89	21
78	47	45
125	90	35
81	45	18
106	70	17
77	45	45
95	50	50
69	50	27
96	30	18
75	61	26
98	60	20
52	45	40
57	35	35
79	45	44
106	71	15
67	41	41
72	47	47
78	45	45
73	43	43
58	36	35
60	35	35
63	40	40
63	40	40
57	35	35
74	44	44
64	40	40
110	72	20
110	71	21
116	59	19
110	71	21
65	40	40
110	73	17
114	63	18
74	44	44
58	36	35
95	63	39
80	46	46
136	28	28
132	34	26
90	60	34
115	53	17
69	38	25
110	73	22
71	37	37
69	44	43
85	52	51
75	47	47
95	63	15
120	71	17
114	66	20
111	91	49
110	91	33
121	88	41
122	70	47
70	43	43
107	72	21
127	91	23
115	77	25
121	82	21
120	72	17
98	55	14
121	62	18
106	66	17
90	70	40
78	45	45
64	41	41
105	66	19
70	43	43
114	72	20
72	42	42
135	89	36
130	70	44
105	68	18
126	72	19
71	45	45
105	53	35
65	37	25
76	58	20
80	68	20
79	61	20
85	59	20
65	35	25
71	55	21
70	45	45
80	68	20
136	76	24
77	50	50
90	64	40
122	66	20
124	67	20
50	31	31
117	77	20
75	45	45
120	42	16
80	47	47
80	48	48
97	67	18
90	53	31
67	45	45
110	71	18
110	70	21
126	86	45
124	72	25
85	55	18
120	66	16
63	37	37
80	47	47
110	62	20
80	61	40
104	75	27
119	84	21
118	83	23
70	46	26
95	45	24
105	56	27
97	66	15
120	72	13
120	70	13
120	71	13
120	60	33
120	60	33
120	60	33
120	60	32
65	62	18
120	60	33
63	60	18
63	60	18
65	62	18
65	62	18
95	83	46
94	63	26
110	65	19
120	72	16
130	82	20
136	41	24
106	68	18
80	40	40
109	60	14
136	77	19
66	40	40
125	71	19
112	65	17
120	67	18
110	70	18
116	75	25
118	76	26
120	70	20
121	76	23
104	62	20
88	62	25
81	62	17
107	61	19
70	40	26
117	56	21
94	70	30
122	57	19
91	60	21
81	47	47
77	36	32
125	81	36
55	31	31
107	50	16
125	66	18
65	39	39
127	69	27
120	72	18
125	67	15
120	37	20
119	71	21
86	50	50
82	44	44
108	60	17
92	72	16
116	77	16
95	65	26
124	67	16
107	32	18
92	61	22
125	70	27
74	67	41
138	68	16
104	70	15
90	60	18
106	72	20
93	53	43
55	30	30
46	35	35
120	37	20
135	36	20
85	66	24
111	77	21
60	33	33
126	60	27
70	41	40
80	78	25
110	63	12
110	73	16
111	74	16
110	74	16
101	56	20
110	31	22
106	55	21
125	35	26
52	50	20
77	40	40
110	86	20
80	78	25
58	57	20
72	50	20
75	47	47
116	82	19
118	66	14
83	42	28
74	47	47
126	75	19
130	90	22
117	62	22
116	78	16
67	47	47
65	37	25
116	69	19
131	41	22
77	36	31
103	47	16
107	49	17
106	60	18
106	60	19
118	55	21
89	66	31
108	31	19
131	77	21
130	81	18
126	71	21
125	70	21
136	66	17
136	71	15
106	77	28
105	76	29
80	45	45
75	48	45
115	86	22
104	75	24
104	75	23
130	82	21
130	70	25
130	96	30
68	38	38
110	68	16
76	48	30
136	41	23
131	40	30
95	52	52
56	42	42
120	82	19
90	53	31
111	62	16
130	80	26
105	50	20
75	47	47
110	66	16
64	39	40
96	56	14
85	45	45
73	43	43
116	72	20
92	67	20
130	80	35
90	48	48
102	57	12
102	50	17
69	56	24
137	80	23
84	37	30
70	37	30
92	50	50
